society,price,price_per_sq.ft,bedRoom,bathroom,balcony,floorNum,facing,type,sector,Super_build_area,build_area,Carpet_area,Not available,Study Room,Servant Room,Pooja Room,Others,age,luxury_score,furnishing_type,location_score
Signature Global Park,0.75,6938,3,2,3+,4.0,East,flat,sohna,,,1081.0,1,0,0,0,0,New Property,85,1,42
Suncity Vatsal Valley,1.0,13340,2,2,2,3.0,,flat,sector 2,,,750.0,1,0,0,0,0,New Property,8,2,51
Signature Global Superbia,0.4,6728,2,2,3,2.0,,flat,sector 95,,,594.0,1,0,0,0,0,,0,1,51
Shree Vardhman Victoria,1.75,8974,3,4,2,16.0,,flat,sector 70,,1950.0,,0,0,1,1,0,relatively new,28,1,37
M3M Heights,2.1,16653,2,2,3,8.0,,flat,sector 65,1261.0,,800.0,1,0,0,0,0,New Property,43,1,52
Smart World Orchard,2.5,16139,3,3,1,1.0,East,flat,sector 61,,1549.0,,1,0,0,0,0,,0,1,51
Karmyogi Apartment,2.3,6467,6,4,2,6.0,,flat,sector 10a,,,3556.0,1,0,0,0,0,old property,0,1,14
Emaar Palm Gardens,1.8,9474,3,4,0,9.0,,flat,sector 83,,1900.0,,1,0,0,0,0,,0,1,41
Smart World Orchard,2.0,12911,3,3,2,3.0,,flat,sector 61,,,1549.0,0,0,0,0,1,New Property,0,1,51
Supertech Araville,1.0,6535,2,2,3,4.0,,flat,sector 79,,,1530.0,0,1,0,0,0,relatively new,16,1,5
Orris Aster Court,0.9,5671,3,3,3,8.0,North-East,flat,sector 85,1587.0,,,1,0,0,0,0,relatively new,28,1,17
DLF Beverly Park,8.0,15384,5,5,3+,2.0,North-East,flat,sector 25,,,5200.0,0,1,1,1,1,,16,0,45
AIPL Club Residences,0.95,10215,2,2,1,11.0,North-East,flat,sector 70a,,930.0,730.0,1,0,0,0,0,New Property,94,2,42
Surya Vihar RWA,1.3,6500,5,5,2,2.0,South-East,flat,sector 21,,2400.0,2200.0,0,1,1,0,0,,44,2,20
M3m Golf Hills,1.45,10211,2,2,3,15.0,,flat,sector 79,,,1420.0,1,0,0,0,0,,0,1,5
Signature Global City,1.25,6082,3,3,3,4.0,,flat,sector 37d,,,2055.0,1,0,0,0,0,,31,1,42
Adani Brahma Samsara Vilasa,4.49,14254,4,4,3+,3.0,North,flat,sector 63,,,3150.0,1,0,0,0,0,New Property,91,2,52
DLF The Grove,6.0,25000,4,4,2,1.0,South-West,flat,sector 53,,,2400.0,0,0,1,0,0,,28,2,52
Suncity Vatsal Valley,1.53,10699,3,3,3,2.0,North-East,flat,sector 2,,,1430.0,1,0,0,0,0,New Property,100,2,51
Sare Green ParC Phase 3,0.7,5279,3,2,2,4.0,,flat,sector 92,1326.0,,1320.0,1,0,0,0,0,relatively new,43,1,26
Conscient Elevate,6.75,19882,4,4,2,10.0,,flat,sector 59,3395.0,,1855.0,0,0,1,0,0,New Property,40,1,59
Signature Global City 92,0.99,9074,3,2,3,1.0,,flat,sector 92,,1091.0,,1,0,0,0,0,,33,1,41
Godrej Air,1.4,10000,2,2,3,23.0,,flat,sector 85,,1400.0,900.0,1,0,0,0,0,,0,1,41
Pyramid Urban,0.6,8571,2,2,2,14.0,,flat,sector 67a,700.0,,,1,0,0,0,0,New Property,15,1,31
Hero Homes,1.35,9565,3,2,2,18.0,East,flat,sector 104,1359.0,,861.0,1,0,0,0,0,New Property,28,1,42
Central Park Flower Valley,1.2,6742,3,3,0,11.0,,flat,sohna,,1780.0,,1,0,0,0,0,,0,1,0
Raheja Maheshwara,0.48,4367,2,2,2,11.0,,flat,sohna,1099.0,,,1,0,0,0,0,relatively new,50,1,35
Shapoorji Pallonji Joyville Gurugram,1.99,20664,2,2,2,14.0,South,flat,sector 102,1349.0,,963.0,1,0,0,0,0,New Property,124,1,34
Godrej 101,2.5,11141,3,3,3+,5.0,,flat,sector 79,,2244.0,1800.0,1,0,0,0,0,,0,1,16
Signature Global Park,0.58,7056,2,2,2,3.0,,flat,sector 36 sohna,,822.0,600.0,1,0,0,0,0,,0,1,42
Orris Aster Court,0.93,5671,3,3,3,8.0,,flat,sector 85,,1587.0,1250.0,1,0,0,0,0,relatively new,0,1,17
Supertech Hues,0.8,6779,2,2,3+,14.0,,flat,sector 68,,1180.0,,1,0,0,0,0,New Property,16,2,35
"New colony, Gurgaon",0.8,8100,3,2,1,4.0,North-East,flat,sector 7,,,990.0,1,0,0,0,0,relatively new,49,2,24
Pyramid Urban,0.7,11844,2,2,1,14.0,North,flat,sector 67a,,,591.0,1,0,0,0,0,New Property,27,1,31
Oriental Valley CHS,1.5,8108,4,3,3+,8.0,,flat,sector 9a,,,1850.0,1,0,0,0,0,old property,20,1,39
AVL 36 Gurgaon,0.4,10204,1,1,1,4.0,West,flat,sector 36a,,,392.0,1,0,0,0,0,relatively new,21,1,14
Signature Global Grand IVA,0.5,6667,2,2,0,10.0,North,flat,sector 103,,750.0,605.0,1,0,0,0,0,,0,1,18
Orchid Island,1.7,10651,3,4,3,2.0,West,flat,sector 51,,,1596.0,0,0,0,1,0,old property,69,1,46
Pivotal Riddhi Siddhi,0.72,947,2,2,2,12.0,,flat,sector 99,,,7598.678,0,0,0,0,0,relatively new,41,1,35
Pivotal Devaan,0.35,7246,2,2,2,4.0,East,flat,sector 84,,,483.0,1,0,0,0,0,relatively new,23,1,36
Signature Global Grand IVA,0.5,6250,2,2,2,10.0,,flat,sector 103,800.0,,605.0,1,0,0,0,0,relatively new,7,1,18
Kendriya Vihar,0.47,7768,1,1,1,3.0,,flat,sector 56,,,605.0,1,0,0,0,0,,47,2,50
Parsvnath Exotica,5.0,17241,3,4,3,7.0,,flat,sector 53,,,2900.0,0,0,1,0,0,,36,2,43
Emaar MGF Palm Studios,1.7,13502,2,2,2,7.0,,flat,sector 66,1185.0,,,0,0,0,0,1,relatively new,78,1,35
ILD Greens,0.95,5066,3,3,3+,0.0,,flat,sector 37c,1875.0,,,1,0,0,0,0,New Property,0,1,49
DLF The Skycourt,2.2,11500,3,3,1,7.0,,flat,sector 86,1930.0,,,0,0,0,1,0,relatively new,76,0,25
Signature Global City 81,0.82,8639,2,2,3,2.0,East,flat,sector 81,,955.0,565.0,1,0,0,0,0,,0,1,5
Spaze Privvy The Address,1.25,5701,4,4,3,16.0,,flat,sector 93,,2105.0,1700.0,1,0,0,0,0,relatively new,0,1,41
Emaar Mgf Emerald Floors,3.2,10159,4,3,2,1.0,,flat,sector 65,,3150.0,1750.0,0,0,1,0,0,relatively new,0,1,23
Mapsko Casa Bella,1.75,6903,4,5,3+,1.0,West,flat,sector 82,,2535.0,1960.0,1,0,0,0,0,,0,1,33
Tulip Ivory,2.35,9791,4,4,3+,8.0,West,flat,sector 70,,,2400.0,0,0,1,0,0,old property,86,1,42
ATS Marigold,1.5,8500,3,3,3,5.0,North,flat,sector 89a,1750.0,,1450.0,1,0,0,0,0,Under Construction,86,1,34
AIPL Zen Residences,1.34,10276,2,2,3+,17.0,East,flat,sector 70a,1304.0,,,1,0,0,0,0,New Property,89,2,42
Tulip Yellow,1.8,10563,3,3,3,14.0,East,flat,sector 69,,,1704.0,1,0,0,0,0,,0,1,59
Sare Green ParC Phase 3,1.1,6875,4,3,2,12.0,North,flat,sector 92,,,1600.0,1,0,0,0,0,New Property,11,1,26
Adani Brahma Samsara Vilasa,3.25,29545,3,3,3,4.0,North-East,flat,sector 63,,2700.0,1100.0,0,0,0,0,1,New Property,23,1,52
Smart World Orchard,2.55,15644,3,3,2,4.0,,flat,sector 61,,,1630.0,0,0,0,0,1,New Property,19,1,51
Sare Green Parc 2,0.61,4837,3,2,2,6.0,,flat,sector 92,1261.0,,,0,0,0,0,1,Under Construction,0,1,5
Signature Global Park,0.75,6938,2,2,0,1.0,,flat,sector 36 sohna,,1081.0,,1,0,0,0,0,,0,1,42
Eldeco Accolade,1.35,6136,3,3,3,2.0,,flat,sohna,,,2200.0,0,0,1,0,0,New Property,68,1,18
Tulip Violet,1.65,8872,3,3,2,1.0,,flat,sector 69,,1578.0,,1,0,0,0,0,relatively new,70,2,35
BPTP Park Generations,1.5,9868,3,2,3+,17.0,North-East,flat,sector 37d,1520.0,,,1,0,0,0,0,relatively new,25,1,42
Spaze Privy,1.9,9620,3,3,3,10.0,,flat,sector 72,1975.0,,,0,0,1,0,0,old property,44,2,40
Central Park Resorts,15.0,22388,5,6,3+,17.0,,flat,sector 48,,,6700.0,0,1,1,1,0,relatively new,54,0,44
Puri Diplomatic Greens,3.9,13000,4,5,3+,6.0,North-East,flat,sector 111,3000.0,,2950.0,0,0,1,0,0,relatively new,128,0,44
Breez Global Heights,0.46,4842,2,2,2,4.0,North-East,flat,sohna,950.0,,700.0,1,0,0,0,0,relatively new,70,0,42
Shri Ram Apartments,0.32,3368,2,2,1,4.0,,flat,sector 3a,,,950.0,1,0,0,0,0,relatively new,5,2,34
DLF The Arbour,7.8,19747,4,4,0,6.0,,flat,sector 63,,3950.0,,1,0,0,0,0,,0,1,26
BSF CHS,0.95,5937,3,3,3,13.0,,flat,gwal pahari,,,1600.0,1,0,0,0,0,,23,1,29
HSIIDC Sidco Shivalik Apartments,0.85,5102,3,2,2,5.0,,flat,manesar,1666.0,,,1,0,0,0,0,old property,0,1,14
TARC Maceo,0.95,5954,2,2,2,10.0,East,flat,sector 91,1310.0,,,1,0,0,0,0,relatively new,72,1,25
dnha group housing society,0.75,4518,3,2,2,5.0,,flat,manesar,1660.0,,,1,0,0,0,0,old property,0,1,14
NBCC Heights,0.75,6578,2,2,2,6.0,,flat,sector 89,1140.0,,,1,0,0,0,0,old property,0,1,48
Vatika Gurgaon 21,1.4,6628,3,3,2,7.0,,flat,sector 83,1735.0,,,1,0,0,0,0,relatively new,62,2,42
Malibu Towers,2.45,10698,3,4,2,1.0,,flat,sector 47,,,2290.0,0,1,0,0,0,,25,2,46
M3M Soulitude,1.25,8784,3,3,2,3.0,,flat,sector 89,,,1423.0,0,1,0,0,0,New Property,28,1,32
Tulip Purple,2.6,10833,4,4,3+,4.0,,flat,sector 69,2400.0,,,0,0,1,0,0,old property,23,1,59
Park View Apartments,1.6,11034,3,3,3+,2.0,North-West,flat,sector 15,,,1450.0,0,0,0,1,0,old property,38,1,32
Tulip Petals,1.1,7097,3,2,3,4.0,,flat,sector 89,,1550.0,1320.0,1,0,0,0,0,,0,1,49
Ansal Plaza,1.0,10000,2,3,0,1.0,,flat,sector 2,,1000.0,,1,0,0,0,0,,0,1,61
CHD Avenue 71,1.4,7945,3,3,2,1.0,South-East,flat,sector 71,,,1762.0,0,0,0,1,0,old property,109,2,30
Smart World Orchard,2.6,14723,3,3,2,2.0,,flat,sector 61,1630.0,,,1,0,0,0,0,New Property,50,1,51
Vatika City Homes,0.75,5660,2,2,2,3.0,West,flat,sector 83,1325.0,,,1,0,0,0,0,relatively new,50,1,32
M3M Sky Lofts,1.0,11500,1,1,1,9.0,,flat,sector 71,,869.0,435.0,1,0,0,0,0,,0,1,52
Raheja Vedaanta,0.7,4522,2,2,3,1.0,West,flat,sector 108,,1548.0,1200.0,1,0,0,0,0,,0,1,0
Sidhartha NCR One Phase 1,0.6,4800,2,2,3,10.0,North-East,flat,sector 95,,1250.0,,1,0,0,0,0,,0,1,0
Chintels Paradiso,1.97,7490,4,4,2,11.0,North-East,flat,sector 109,2630.0,,,0,0,1,1,0,relatively new,28,1,25
Ramprastha The Edge Towers,0.75,5319,2,2,3,19.0,,flat,sector 37d,,1410.0,,1,0,0,0,0,old property,0,1,40
Pioneer Park,1.6,11594,2,2,2,21.0,,flat,sector 61,,,1380.0,0,0,1,0,0,relatively new,89,1,43
Trisara Our Homes 3,0.4,6561,2,2,1,0.0,South,flat,sohna,,,602.0,1,0,0,0,0,New Property,76,2,45
Ashiana Anmol,0.99,8215,2,2,2,6.0,East,flat,sohna,1205.0,,900.0,1,0,0,0,0,New Property,28,1,40
Umang Monsoon Breeze,0.69,5390,2,2,2,11.0,,flat,sector 78,,,1280.0,1,0,0,0,0,old property,57,1,16
Signature Global Park 4,0.85,11333,3,2,3,1.0,,flat,sector 36 sohna,,,750.0,1,0,0,0,0,New Property,29,1,52
HCBS Sports Ville,0.32,4301,2,2,1,3.0,,flat,sohna,,743.99,,1,0,0,0,0,relatively new,79,1,0
Raheja The Vedaanta Floors,0.7,4521,2,2,3,1.0,,flat,sector 108,,,1548.0,1,0,0,0,0,old property,0,2,40
M3M Soulitude,1.42,9978,3,3,2,3.0,,flat,sector 89,,,1423.0,1,0,0,0,0,New Property,11,1,32
ROF Ananda,0.38,5899,2,2,2,5.0,,flat,sector 95,,,644.0,0,1,0,0,0,relatively new,48,1,24
GLS Arawali Homes,0.26,4513,2,2,2,4.0,,flat,sohna,,,576.0,1,0,0,0,0,relatively new,43,1,7
AVL 36 Gurgaon,0.5,8333,1,1,1,5.0,,flat,sector 36a,,600.0,500.0,1,0,0,0,0,,0,1,0
Bestech Altura,1.9,9000,3,4,2,11.0,,flat,sector 79,,,2150.0,0,0,1,0,0,New Property,28,1,34
Eldeco Accolade,0.85,6724,2,2,3,10.0,,flat,sohna,1264.0,,730.0,1,0,0,0,0,New Property,65,1,18
Adarsh nagar,0.65,6190,3,3,1,1.0,North-West,flat,sector 12,,,1050.0,1,0,0,0,0,New Property,24,2,32
g l s arawali homes,0.26,4513,2,2,2,1.0,,flat,sohna,576.0,,,1,0,0,0,0,old property,0,1,0
Piedmont Taksila heights,0.9,5855,3,3,3,9.0,South-West,flat,sector 37c,,1537.0,,1,0,0,0,0,old property,75,2,21
DLF The Arbour,8.5,21519,4,4,0,27.0,,flat,sector 63,,3950.0,,1,0,0,0,0,,0,1,26
Suncity Avenue 76,0.75,10204,2,2,2,11.0,,flat,sector 76,735.0,,,1,0,0,0,0,relatively new,0,1,34
ATS Marigold,1.5,8571,3,3,3,2.0,,flat,sector 89a,,,1750.0,0,0,0,0,1,New Property,28,1,34
Bestech Altura,1.9,8837,3,4,3,11.0,North-East,flat,sector 79,2150.0,,,1,0,0,0,0,relatively new,75,1,34
Godrej Nature Plus Serenity,1.45,8677,3,2,3,3.0,South,flat,sector-33 sohna,1671.0,,,1,0,0,0,0,New Property,28,1,17
Conscient Elevate,4.02,17500,3,3,1,3.0,,flat,sector 59,,,2295.0,1,0,0,0,0,,40,1,59
Sare Crescent Parc Royal Greens Phase 1,0.5,5000,2,2,3,2.0,North-East,flat,sector 92,,1000.0,999.0,1,0,0,0,0,,0,1,12
Emaar MGF The Palm Drive,3.98,18090,3,4,3+,2.0,South-East,flat,sector 66,2200.0,,,0,0,1,0,0,old property,110,2,43
Godrej 101,1.47,16256,2,2,3,9.0,North-East,flat,sector 79,,,904.092,0,1,0,0,0,New Property,79,1,16
Lotus Homz,0.7,10057,2,2,2,8.0,East,flat,sector 111,,,696.0,1,0,0,0,0,relatively new,40,1,42
Krisumi Waterfall Residences,2.2,14874,2,2,2,23.0,North,flat,sector 36a,1479.0,,,1,0,0,0,0,New Property,11,1,41
Smart World Gems,1.16,8151,3,3,2,3.0,South-East,flat,sector 89,,,1423.0,0,1,0,0,0,,53,1,52
Godrej Nature Plus,1.2,13369,2,2,0,11.0,,flat,sector-33 sohna,,,76.0,1,0,0,0,0,,0,1,41
Antriksh Green,2.25,7826,4,4,2,9.0,North,flat,sector 45,,,2875.0,0,0,1,0,0,,16,0,39
Whiteland The Aspen,3.35,17615,3,4,3+,5.0,North-East,flat,sector 76,,,1900.0,0,0,1,0,0,,125,0,41
Ansal Height 86,0.8,5882,2,2,0,1.0,,flat,sector 86,,1360.0,,1,0,0,0,0,,0,1,5
Ramsons Kshitij,0.35,5495,2,2,0,5.0,,flat,sector 95,,637.0,,1,0,0,0,0,,0,1,0
Vipul Lavanya,0.6,6666,2,2,1,0.0,,flat,sector 81,900.0,,,1,0,0,0,0,relatively new,0,1,5
Vipul Lavanya,0.6,6666,2,2,1,0.0,East,flat,sector 81,,,900.0,1,0,0,0,0,relatively new,28,1,5
Pareena Mi Casa,1.0,8163,2,2,2,16.0,,flat,sector 68,,,1225.0,0,0,1,0,0,New Property,60,1,52
Smart World Orchard,2.54,15500,3,3,3,2.0,,flat,sector 61,,,1640.0,0,0,0,0,0,relatively new,34,1,51
Ansal Sushant Residency,1.5,6775,3,2,3+,1.0,,flat,sector 57,,,2214.0,1,0,0,0,0,old property,53,1,32
M3M Heights,2.78,15200,3,3,3,44.0,,flat,sector 65,1828.0,,,1,0,0,0,0,,52,1,52
Sare Crescent Parc,0.9,4260,4,5,3+,3.0,,flat,sector 92,1995.0,,,0,0,1,0,0,relatively new,0,1,5
ROF Aalayas,0.45,6000,1,1,2,6.0,,flat,sector 102,,750.0,,1,0,0,0,0,,0,1,35
Paras Quartier,5.9,11028,4,4,3+,0.0,,flat,gwal pahari,,5350.0,,1,0,0,0,0,old property,0,1,52
ILD Grand,1.2,6593,3,3,3,7.0,,flat,sector 37c,1820.0,,,1,0,0,0,0,relatively new,33,1,34
Sidhartha NCR Greens,0.56,5656,2,2,3,13.0,,flat,sector 95,990.0,,,1,0,0,0,0,New Property,13,1,5
Mapsko Mount Ville,1.4,9395,3,3,3,2.0,North,flat,sector 79,,,1490.0,1,0,0,0,0,New Property,96,2,42
CGHS Hewo Apartments,1.25,11574,2,2,2,2.0,,flat,sector 31,,,1080.0,1,0,0,0,0,,16,1,32
Godrej Nature Plus,1.5,10200,2,2,3+,2.0,South-East,flat,sector-33 sohna,,,1385.0,1,0,0,0,0,,79,1,41
M3M The Marina,2.22,14322,3,2,3,4.0,East,flat,sector 68,1550.0,,,1,0,0,0,0,relatively new,27,1,42
Valley View Estate,1.5,8278,4,4,3+,9.0,North,flat,gwal pahari,,,1812.0,0,1,1,0,1,,103,1,35
Mapsko Mount Ville,1.85,9641,3,4,3,21.0,,flat,sector 79,1815.0,,,0,0,1,1,0,New Property,28,1,42
Smart World Orchard,1.6,13913,2,2,2,4.0,,flat,sector 61,,,1150.0,1,0,0,0,0,Under Construction,31,1,51
Raheja Vedas,2.15,4134,3,4,3+,12.0,East,flat,sector 108,5200.0,,4000.0,0,1,0,0,0,relatively new,0,1,0
Adani Brahma Samsara Vilasa,3.0,16666,3,3,3,3.0,East,flat,sector 63,,,1800.0,1,0,0,0,0,New Property,33,1,52
Smart World Gems,1.2,8432,3,3,2,3.0,East,flat,sector 89,,1423.0,,0,1,0,0,1,New Property,23,1,52
M3M Skycity,3.0,16411,3,3,3,17.0,East,flat,sector 65,1828.0,,,1,0,0,0,0,,83,1,43
The Castle Society,2.0,8695,4,4,2,4.0,,flat,sector 56,2300.0,,,1,0,0,0,0,relatively new,0,1,42
Essel Towers,2.75,12500,4,5,3+,8.0,East,flat,sector 43,,2200.0,,0,1,1,0,0,,89,0,37
Lotus Homz,0.36,8888,1,1,1,10.0,,flat,sector 111,,,405.0,1,0,0,0,0,relatively new,27,1,42
ShreeRam Apartment II,0.21,4666,1,1,1,2.0,,flat,sector 3a,,,450.0,1,0,0,0,0,relatively new,5,1,34
M3M Woodshire,1.8,7623,3,4,3+,2.0,,flat,sector 107,2361.0,,1384.0,0,0,1,0,0,relatively new,107,1,16
Krisumi Waterfall Residences,4.1,15500,3,4,3,30.0,,flat,sector 36a,,,2538.0,0,1,0,0,0,New Property,28,0,51
Godrej 101,1.3,8269,2,2,3,3.0,North-East,flat,sector 79,1572.0,,,0,1,0,0,0,New Property,28,1,16
Signature Global Solera,0.6,8000,3,2,2,8.0,,flat,sector 107,,750.0,650.0,1,0,0,0,0,,0,1,33
Signature Global Solera,0.4,6644,2,2,1,7.0,,flat,sector 107,602.0,,548.0,1,0,0,0,0,relatively new,0,1,33
Ambience Creacions,1.99,14420,2,2,2,9.0,North-East,flat,sector 22,1380.0,,1280.0,0,1,1,1,0,New Property,12,1,49
Ambience Creacions,1.99,15546,2,2,2,9.0,North-East,flat,sector 22,1380.0,,1280.0,1,0,0,0,0,New Property,28,1,49
M3M Soulitude,1.28,8827,3,3,2,4.0,,flat,sector 89,,,1450.0,0,1,0,0,0,relatively new,111,1,32
Smart World Orchard,1.6,13913,2,2,2,4.0,North-East,flat,sector 61,,,1150.0,0,1,0,0,1,New Property,18,1,51
Ace Palm Floors,0.97,7863,2,2,2,1.0,,flat,sector 89,,,1234.0,0,1,0,0,0,New Property,18,1,37
Umang Winter Hills,0.86,6408,2,2,2,16.0,,flat,sector 77,1342.0,,,1,0,0,0,0,New Property,63,2,49
AIPL Zen Residences,1.25,9904,2,2,2,19.0,,flat,sector 70a,,,1262.0,1,0,0,0,0,New Property,24,1,42
Signature Global Solera,0.25,7862,1,1,0,0.0,,flat,sector 107,,318.0,,1,0,0,0,0,,0,1,33
Capital Residences 360,1.1,7586,2,2,3+,8.0,,flat,sector 70a,1450.0,,,1,0,0,0,0,New Property,56,1,0
Signature Global Synera,0.48,8450,2,2,1,7.0,South-East,flat,sector 81,657.0,,568.0,1,0,0,0,0,relatively new,50,1,34
ILD Greens,0.95,9223,2,2,3+,11.0,South-West,flat,sector 37c,1340.0,,1030.0,0,0,0,1,0,relatively new,102,2,49
Global height,0.45,6338,2,2,2,6.0,East,flat,sohna,,,710.0,1,0,0,0,0,relatively new,28,0,0
Signature Global the Millennia,0.65,10906,2,2,3,0.0,,flat,sector 37d,650.0,,596.0,1,0,0,0,0,New Property,23,1,25
M3M Heights,2.01,13500,2,2,3,8.0,North-East,flat,sector 65,1516.0,,1433.0,0,1,0,0,0,New Property,27,1,52
Smart World Gems,0.9,8145,2,2,2,1.0,,flat,sector 89,,1105.0,,1,0,0,0,0,,0,1,52
Whiteland  The ASPEN,3.5,11917,3,4,3,8.0,,flat,sector 76,,2937.0,1762.0,1,0,0,0,0,,0,1,14
Godrej Air,1.3,14541,2,2,3,30.0,,flat,sector 85,1400.0,,894.0,1,0,0,0,0,relatively new,88,1,41
HCBS Sports Ville,0.25,4166,1,1,1,12.0,,flat,sohna,,600.0,,1,0,0,0,0,relatively new,37,1,0
Pivotal Devaan,0.27,7964,1,1,1,13.0,North-East,flat,sector 84,439.0,,339.0,1,0,0,0,0,relatively new,35,0,36
CGHS Vidya Enclave,1.7,10967,3,2,3,6.0,,flat,sector 56,1600.0,,1550.0,0,0,0,0,0,,78,1,50
Smart World Gems,1.16,10500,3,2,3,1.0,,flat,sector 89,1103.0,,,0,1,0,0,0,New Property,28,1,52
M3M Woodshire,1.01,7394,2,2,3+,11.0,,flat,sector 107,1366.0,,,0,0,0,0,1,New Property,68,1,16
Signature Global Solera 2,0.5,8928,2,2,2,13.0,,flat,sector 107,,,560.0,1,0,0,0,0,New Property,7,1,7
Orris Carnation Residency,1.1,6686,3,4,3,6.0,East,flat,sector 85,1645.0,,1300.0,0,0,1,0,0,old property,64,1,35
Smart World Orchard,1.58,13739,2,2,2,3.0,South,flat,sector 61,,,1150.0,0,1,0,0,0,New Property,11,1,51
Signature Global Park 4,0.72,6660,3,2,3,3.0,,flat,sector 36 sohna,1081.0,,,1,0,0,0,0,Under Construction,0,1,0
Satya Element One,0.87,19333,1,1,1,2.0,,flat,sector 49,,,450.0,1,0,0,0,0,relatively new,25,1,20
Godrej Aria,1.7,7426,3,4,3+,6.0,East,flat,sector 79,2289.0,,1121.0,0,0,1,0,0,New Property,68,1,49
Breez Global Heights 88A,0.5,8375,3,2,2,2.0,,flat,sector 88a,,,597.0,1,0,0,0,0,,27,1,41
Godrej 101,1.41,9000,2,2,3,3.0,,flat,sector 79,,,1572.0,0,1,0,0,0,New Property,93,1,16
Signature Global City 92,0.99,6622,3,2,3,1.0,East,flat,sector 92,,,1495.0,0,0,0,0,1,New Property,23,1,41
Tulip Violet,3.25,10105,4,5,3+,14.0,,flat,sector 69,3216.0,,,0,0,0,1,1,relatively new,12,1,42
Birla Navya,3.5,25925,3,3,3,1.0,,flat,sector 63a,,,1350.0,1,0,0,0,0,Under Construction,46,1,33
Parsvnath Green Ville,2.5,12820,4,5,3,1.0,South-East,flat,sector 48,,,1950.0,0,0,0,0,1,old property,28,2,40
Pyramid Pride,0.5,6578,2,2,1,8.0,North,flat,sector 76,,,760.0,1,0,0,0,0,,75,1,41
Suposhaa Smartworld Orchard,2.25,14525,3,3,2,3.0,,flat,sector 61,,,1549.0,1,0,0,0,0,relatively new,0,1,5
Mittal Surya Vihar,1.4,5833,5,4,2,2.0,,flat,sector 21,2400.0,,,1,0,0,0,0,old property,0,1,24
Trisara Our Homes 3,0.36,5980,2,2,1,1.0,,flat,sohna,602.0,,450.0,1,0,0,0,0,New Property,51,1,45
Godrej Aria,1.3,8843,2,2,2,7.0,,flat,sector 79,1470.0,,,0,1,0,0,0,relatively new,95,2,35
Kendriya Vihar,0.58,9586,1,1,1,1.0,,flat,sector 56,,,605.0,1,0,0,0,0,,54,1,50
om apartment Dayanand colony,0.26,4373,1,1,1,3.0,North-East,flat,sector 5,,,583.0,1,0,0,0,0,relatively new,7,1,34
Pyramid Urban Homes 2,0.6,8000,3,2,2,2.0,East,flat,sector 86,,,750.0,1,0,0,0,0,New Property,8,1,25
Pyramid Urban Homes 2,0.5,8319,2,2,1,2.0,East,flat,sector 86,,,601.0,1,0,0,0,0,relatively new,20,1,25
Godrej Nature Plus,1.35,8231,3,2,3+,7.0,North-East,flat,sector-33 sohna,1640.0,,,0,0,0,1,0,New Property,28,1,41
Unitech South Park,1.13,7000,3,3,2,1.0,,flat,sector 70,1610.0,,,1,0,0,0,0,New Property,51,1,35
Raheja Atharva,1.6,5319,4,1,0,0.0,,flat,sector 109,,3008.0,,1,0,0,0,0,New Property,0,1,18
Greenopolis,0.65,5195,2,2,2,15.0,,flat,sector 89,,,1251.0,1,0,0,0,0,relatively new,24,1,12
Satya The Hermitage,0.8,5517,2,2,0,10.0,,flat,sector 103,,1450.0,,1,0,0,0,0,,0,1,50
Sahara Grace,5.5,14612,4,5,3+,5.0,East,flat,sector 28,3764.0,,,0,0,1,0,1,old property,7,2,45
Imperia The Esfera,0.95,5703,2,2,0,17.0,,flat,sector 37c,,1578.0,,0,0,1,0,0,Under Construction,0,1,27
Alpha Corp GurgaonOne 84,1.2,9448,2,2,1,6.0,South-West,flat,sector 84,1270.0,,,1,0,0,0,0,relatively new,10,1,41
Smart World Orchard,1.55,13478,2,2,1,3.0,,flat,sector 61,1150.0,,,0,1,0,0,0,relatively new,48,1,51
HCBS Sports Ville,0.3,4011,2,2,2,3.0,,flat,sohna,,743.0,621.0,1,0,0,0,0,,0,1,0
Whiteland Blissville,1.92,11500,3,3,2,2.0,,flat,sector 76,,1672.0,940.0,1,0,0,0,0,,0,1,50
Adani Aangan Arcade,0.5,7763,2,2,1,4.0,,flat,sector 89a,,672.0,644.0,1,0,0,0,0,relatively new,52,0,34
Adani Aangan Galleria,0.25,5000,1,1,1,6.0,,flat,sector 89a,500.0,,410.0,1,0,0,0,0,New Property,60,1,12
Spectrum Centre,0.62,9538,1,1,0,6.0,,flat,sector 82a,,650.0,,1,0,0,0,0,,0,1,5
Godrej Nature Plus,1.25,9025,2,2,3,17.0,,flat,sector-33 sohna,,1385.0,1000.0,1,0,0,0,0,,0,1,41
Smart World Gems,0.88,7978,2,2,0,2.0,,flat,sector 89,,1103.0,,1,0,0,0,0,,0,1,52
Vatika India Next,0.8,6426,2,2,3,9.0,,flat,sector 82,,,1245.0,1,0,0,0,0,,0,1,41
Godrej Nature Plus,1.1,7971,2,2,2,14.0,North,flat,sector-33 sohna,,,1380.0,1,0,0,0,0,,0,1,41
Sare Green Parc,0.85,6741,3,2,2,14.0,,flat,sector 92,,1261.0,,1,0,0,0,0,,0,1,42
Smart World Gems,1.25,8784,3,3,3,2.0,North,flat,sector 89,1423.0,,,0,0,0,1,0,relatively new,7,1,52
Imperia Elvedor,0.55,8221,1,1,0,5.0,,flat,sector 37c,,669.0,,1,0,0,0,0,,0,1,0
