property_name,society,price,price_per_sq.ft,areaWithType,bedRoom,bathroom,balcony,additionalRoom,address,floorNum,facing,agePossession,nearbyLocations,description,furnishDetails,features,rating,area,type,sector
2 BHK Flat in Sector 85 Gurgaon,SS The Leaf,1.17,7001,Super Built up area 1671(155.24 sq.m.)Built Up area: 1660 sq.ft. (154.22 sq.m.)Carpet area: 1650 sq.ft. (153.29 sq.m.),2,2,3,Not available,"Sector 85 Gurgaon, Gurgaon, Haryana",11.0,East,1 to 5 Year Old,"['Sapphire 83 Mall', 'Dwarka Expressway', 'Central Peripheral Road', 'NH 08', 'Pataudi Road', 'Delhi Public School Sector 84', 'DPG Institute of Technology', 'Genesis Hospital Sector 84', 'Indira Gandhi International Airport', 'Imt Manesar', 'Holiday Inn Hotel Sector 90', 'SkyJumper Trampoline Park', 'Nakhrola Stadium Sector 81A']","This 2 bhk apartment is available for sale in ss, one of the most prominent projects for flats in sector 85 gurgaon. Containing 2 bedroom(s), 2 bathrooms and 3 balconies, this flat is spread over a super built up area of 1671 sq.Ft. The property is located on the 11th floor of a 26 floors tall building. An added advantage of this 1-5 years old flat is that it is available for immediate possession as the project is already ready to move.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.","['4 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Green Area4.5 out of 5', 'Construction4.5 out of 5', 'Management4 out of 5', 'Amenities4 out of 5', 'Connectivity4.5 out of 5']",1671.1898300242822,flat,sector 85
4 BHK Flat in Sector 85 Gurgaon,ss,2.09,7432,Super Built up area 2812(261.24 sq.m.)Built Up area: 2600 sq.ft. (241.55 sq.m.)Carpet area: 2400 sq.ft. (222.97 sq.m.),4,4,3,"Pooja Room,Study Room,Servant Room","Sector 85 Gurgaon, Gurgaon, Haryana",8.0,South-East,1 to 5 Year Old,"['Orris Community Center', 'Indian Oil', 'Essar Petrol Pump', 'HP Petrol Pump', 'Vijay Petrol Pump', 'Petrol Pump Indian Oil', 'Pizza Hut', 'KFC']","Located in the popular residential address of sector 85 gurgaon, ss is one of the most preferred destination for apartments in gurgaon. This 4 bhk flat is your ticket to be a part of this community. The floor plan additionally contains 4 bedroom(s), 4 bathrooms and 3 balconies. All in all, the flat is spread over a super built up area of 2812 sq.Ft. This flat lies on the 8th level of a 15 storey building. As the project is already ready to move, so you can easily move into this 1-5 years old property.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.","['6 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Environment5 out of 5', 'Lifestyle5 out of 5', 'Connectivity5 out of 5', 'Safety4.5 out of 5']",2812.1636167922497,flat,sector 85
4 BHK Flat in Sector 85 Gurgaon,ss,2.17,7716,Super Built up area 2812(261.24 sq.m.)Built Up area: 2600 sq.ft. (241.55 sq.m.)Carpet area: 2400 sq.ft. (222.97 sq.m.),4,4,3,"Pooja Room,Study Room,Servant Room","Sector 85 Gurgaon, Gurgaon, Haryana",7.0,North,1 to 5 Year Old,"['Orris Community Center', 'Indian Oil', 'Essar Petrol Pump', 'HP Petrol Pump', 'Vijay Petrol Pump', 'Petrol Pump Indian Oil', 'Pizza Hut', 'KFC']","Ss is one of the most popular destination for buying apartments/ flats in sector 85 gurgaon. You too can be a part of this society by purchasing this 4 bhk flat here. The flat occupies a super built up area of 2812 sq.Ft. That consists of 4 bedrooms, 4 bathrooms and 3 balconies. This flat is situated on the 7th floor of this 15 floors tall residential building. An added advantage of this 1-5 years old flat is that it is available for immediate possession as the project is already ready to move.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.","['6 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Environment5 out of 5', 'Lifestyle5 out of 5', 'Connectivity5 out of 5', 'Safety4.5 out of 5']",2812.3379989631935,flat,sector 85
4 BHK Flat in Sector 85 Gurgaon,ss,2.14,7610,Super Built up area 2812(261.24 sq.m.)Built Up area: 2300 sq.ft. (213.68 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),4,4,3,"Pooja Room,Study Room,Servant Room","Sector 85 Gurgaon, Gurgaon, Haryana",6.0,North,1 to 5 Year Old,"['Orris Community Center', 'Indian Oil', 'Essar Petrol Pump', 'HP Petrol Pump', 'Vijay Petrol Pump', 'Petrol Pump Indian Oil', 'Pizza Hut', 'KFC']","This 4 bhk flat is located in ss, which houses some of the most spacious flats in sector 85 gurgaon. The flat is over 2812 sq.Ft. Super built up area and comes with 4 bedroom(s), 4 bathrooms and 3 balconies. This flat lies on the 6th level of a 15 storey building. As the project is already ready to move, so you can easily move into this 1-5 years old property.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.","['6 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Environment5 out of 5', 'Lifestyle5 out of 5', 'Connectivity5 out of 5', 'Safety4.5 out of 5']",2812.0893561103812,flat,sector 85
4 BHK Flat in Sector 85 Gurgaon,ss,2.1,7467,Super Built up area 2812(261.24 sq.m.)Built Up area: 2600 sq.ft. (241.55 sq.m.)Carpet area: 2400 sq.ft. (222.97 sq.m.),4,4,3,Not available,"Sector 85 Gurgaon, Gurgaon, Haryana",2.0,North-West,1 to 5 Year Old,"['Orris Community Center', 'Indian Oil', 'Essar Petrol Pump', 'HP Petrol Pump', 'Vijay Petrol Pump', 'Petrol Pump Indian Oil', 'Pizza Hut', 'KFC']","Ss is one of gurgaon's most sought after destination for apartments and this 4 bhk flat in sector 85 gurgaon is your opportunity to be a part of this community. The flat occupies a super built up area of 2812 sq.Ft. That consists of 4 bedrooms, 4 bathrooms and 3 balconies. The residential building has 15 floors in total and the flat for sale is located on the 2nd floor. An added advantage of this 1-5 years old flat is that it is available for immediate possession as the project is already ready to move.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.","['6 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Environment5 out of 5', 'Lifestyle5 out of 5', 'Connectivity5 out of 5', 'Safety4.5 out of 5']",2812.3744475693047,flat,sector 85
3 BHK Flat in Sector 85 Gurgaon,ss,1.98,8222,Super Built up area 2408(223.71 sq.m.)Built Up area: 2300 sq.ft. (213.68 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),3,4,3,Not available,"Sector 85 Gurgaon, Gurgaon, Haryana",6.0,West,1 to 5 Year Old,"['Orris Community Center', 'Indian Oil', 'Essar Petrol Pump', 'HP Petrol Pump', 'Vijay Petrol Pump', 'Petrol Pump Indian Oil', 'Pizza Hut', 'KFC']","This beautiful 3 bhk flat in sector 85 gurgaon is situated in ss, one of the popular residential society in gurgaon. The flat is over 2408 sq.Ft. Super built up area and comes with 3 bedroom(s), 4 bathrooms and 3 balconies. This flat lies on the 6th level of a 14 storey building. Being a ready to move project, you can expect immediate possession of this 1-5 years old property.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.","['6 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Park', 'Visitor Parking']","['Environment5 out of 5', 'Lifestyle5 out of 5', 'Connectivity5 out of 5', 'Safety4.5 out of 5']",2408.1731938701046,flat,sector 85
2 BHK Flat in Sector 85 Gurgaon,SS The Leaf,1.24,7122,Super Built up area 1741(161.74 sq.m.)Built Up area: 1730 sq.ft. (160.72 sq.m.)Carpet area: 1720 sq.ft. (159.79 sq.m.),2,2,3,Not available,"Sector 85 Gurgaon, Gurgaon, Haryana",10.0,West,1 to 5 Year Old,"['Sapphire 83 Mall', 'Dwarka Expressway', 'Central Peripheral Road', 'NH 08', 'Pataudi Road', 'Delhi Public School Sector 84', 'DPG Institute of Technology', 'Genesis Hospital Sector 84', 'Indira Gandhi International Airport', 'Imt Manesar', 'Holiday Inn Hotel Sector 90', 'SkyJumper Trampoline Park', 'Nakhrola Stadium Sector 81A']","Ss is one of the most popular destination for buying apartments/ flats in sector 85 gurgaon. You too can be a part of this society by purchasing this 2 bhk flat here. Containing 2 bedroom(s), 2 bathrooms and 3 balconies, this flat is spread over a super built up area of 1741 sq.Ft. This flat lies on the 10th level of a 26 storey building. As the project is already ready to move, so you can easily move into this 1-5 years old property.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.","['4 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Green Area4.5 out of 5', 'Construction4.5 out of 5', 'Management4 out of 5', 'Amenities4 out of 5', 'Connectivity4.5 out of 5']",1741.0839651783208,flat,sector 85
2 BHK Flat in Sector 85 Gurgaon,ss,1.18,7170,Super Built up area 1640(152.36 sq.m.)Built Up area: 1630 sq.ft. (151.43 sq.m.)Carpet area: 1620 sq.ft. (150.5 sq.m.),2,2,3,Not available,"Sector 85 Gurgaon, Gurgaon, Haryana",4.0,West,1 to 5 Year Old,"['Sri Radhe Krishna Temple', 'Ekta Hospital', 'Sai Dharamraj Hospital', 'Sai Heart and Trauma Center', 'Sona Devi Memorial Hospital and Trauma Centre', 'Sanjeevani Hospital Gurgaon', 'Gobind Hospital', 'Kore Tech Park', 'SPAZE BUSINESS PARK', 'Central bank of india', 'Union bank of india', 'State bank of india', 'Nook', 'Starbucks', ""Nirula's""]","This lovely 2 bhk apartment/flat in sector 85 gurgaon is available for sale in one of gurgaon's most popular projects, ss. Containing 2 bedroom(s), 2 bathrooms and 3 balconies, this flat is spread over a super built up area of 1640 sq.Ft. This flat lies on the 4th level of a 26 storey building. This is a ready to move project and the property is 1-5 years old.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.","['4 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Environment5 out of 5', 'Lifestyle5 out of 5', 'Connectivity5 out of 5', 'Safety4.5 out of 5']",1645.7461645746164,flat,sector 85
2 BHK Flat in Sector 85 Gurgaon,ss,1.2,7151,Super Built up area 1671(155.24 sq.m.)Built Up area: 1660 sq.ft. (154.22 sq.m.)Carpet area: 1650 sq.ft. (153.29 sq.m.),2,2,3,Not available,"Sector 85 Gurgaon, Gurgaon, Haryana",15.0,North-East,1 to 5 Year Old,"['Sri Radhe Krishna Temple', 'Ekta Hospital', 'Sai Dharamraj Hospital', 'Sai Heart and Trauma Center', 'Sona Devi Memorial Hospital and Trauma Centre', 'Sanjeevani Hospital Gurgaon', 'Gobind Hospital', 'Kore Tech Park', 'SPAZE BUSINESS PARK', 'Central bank of india', 'Union bank of india', 'State bank of india', 'Nook', 'Starbucks', ""Nirula's""]","Situated in sector 85 gurgaon, ss is a well planned society that offers a pleasant living experience to its residents. This 2 bhk flat in gurgaon is your opportunity to be a part of this community. Containing 2 bedroom(s), 2 bathrooms and 3 balconies, this flat is spread over a super built up area of 1671 sq.Ft. This flat lies on the 15th level of a 26 storey building. This 1-5 years old property is available for immediate possession as the project is ready to move.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.","['4 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Environment5 out of 5', 'Lifestyle5 out of 5', 'Connectivity5 out of 5', 'Safety4.5 out of 5']",1678.0869808418404,flat,sector 85
2 BHK Flat in Sector 85 Gurgaon,ss,1.19,7121,Super Built up area 1671(155.24 sq.m.)Built Up area: 1670 sq.ft. (155.15 sq.m.)Carpet area: 1660 sq.ft. (154.22 sq.m.),2,2,3,Not available,"Sector 85 Gurgaon, Gurgaon, Haryana",11.0,West,1 to 5 Year Old,"['Sri Radhe Krishna Temple', 'Ekta Hospital', 'Sai Dharamraj Hospital', 'Sai Heart and Trauma Center', 'Sona Devi Memorial Hospital and Trauma Centre', 'Sanjeevani Hospital Gurgaon', 'Gobind Hospital', 'Kore Tech Park', 'SPAZE BUSINESS PARK', 'Central bank of india', 'Union bank of india', 'State bank of india', 'Nook', 'Starbucks', ""Nirula's""]","Ss is one of the most popular destination for buying apartments/ flats in sector 85 gurgaon. You too can be a part of this society by purchasing this 2 bhk flat here. The flat is over 1671 sq.Ft. Super built up area and comes with 2 bedroom(s), 2 bathrooms and 3 balconies. The residential building has 26 floors in total and the flat for sale is located on the 11th floor. An added advantage of this 1-5 years old flat is that it is available for immediate possession as the project is already ready to move.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.","['4 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Environment5 out of 5', 'Lifestyle5 out of 5', 'Connectivity5 out of 5', 'Safety4.5 out of 5']",1671.1136076393766,flat,sector 85
3 BHK Flat in Sector 49 Gurgaon,Orchid Petals,2.09,11578,Super Built up area 1805(167.69 sq.m.),3,3,3,Not available,"Sector 49 Gurgaon, Gurgaon, Haryana",0.0,South,1 to 5 Year Old,"['Sapphire Mall', 'Omaxe City Centre', 'BigBazaar', 'Sohna Rd', 'Kinder Care Playschool', 'Kangaroo Kids Preschool', 'shiv Mandir', 'Polaris Hospital', 'Medanta Hospital', 'Artemis Hospital', 'HDFC Bank', 'Radisson Hotel', 'SRS Cinemas']","This 3 bhk flat is located in orchid petals, which houses some of the most spacious flats in sector 49 gurgaon. Constructed on a super built up area of 1805 sq.Ft., the flat comprises 3 bedroom(s), 3 bathrooms and 3 balconies. The flat has a total of 14 floors and this property is situated on ground floor. Being a ready to move project, you can expect immediate possession of this 1-5 years old property.
 Additional details :The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Green Area5 out of 5', 'Construction5 out of 5', 'Management4 out of 5', 'Amenities4.5 out of 5', 'Connectivity4 out of 5']",1805.1476939022284,flat,sector 49
3 BHK Flat in Sector 49 Gurgaon,Orchid Petals,2.45,11887,Super Built up area 2061(191.47 sq.m.),3,3,3,Study Room,"Sector 49 Gurgaon, Gurgaon, Haryana",0.0,North-East,1 to 5 Year Old,"['Sapphire Mall', 'Omaxe City Centre', 'BigBazaar', 'Sohna Rd', 'Kinder Care Playschool', 'Kangaroo Kids Preschool', 'shiv Mandir', 'Polaris Hospital', 'Medanta Hospital', 'Artemis Hospital', 'HDFC Bank', 'Radisson Hotel', 'SRS Cinemas']","Situated in sector 49 gurgaon, orchid petals is a well planned society that offers a pleasant living experience to its residents. This 3 bhk flat in gurgaon is your opportunity to be a part of this community. The flat is over 2061 sq.Ft. Super built up area and comes with 3 bedroom(s), 3 bathrooms and 3 balconies. This flat lies on the ground level of a 14 storey building. An added advantage of this 1-5 years old flat is that it is available for immediate possession as the project is already ready to move.
 Additional details :The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Green Area5 out of 5', 'Construction5 out of 5', 'Management4 out of 5', 'Amenities4.5 out of 5', 'Connectivity4 out of 5']",2061.075124085135,flat,sector 49
3 BHK Flat in Sector 49 Gurgaon,Orchid Petals,2.23,10969,Super Built up area 2033(188.87 sq.m.),3,3,3,Others,"Sector 49 Gurgaon, Gurgaon, Haryana",14.0,North,1 to 5 Year Old,"['Sapphire Mall', 'Omaxe City Centre', 'BigBazaar', 'Sohna Rd', 'Kinder Care Playschool', 'Kangaroo Kids Preschool', 'shiv Mandir', 'Polaris Hospital', 'Medanta Hospital', 'Artemis Hospital', 'HDFC Bank', 'Radisson Hotel', 'SRS Cinemas']","Situated in sector 49 gurgaon, orchid petals is a well planned society that offers a pleasant living experience to its residents. This 3 bhk flat in gurgaon is your opportunity to be a part of this community. The flat is over 2033 sq.Ft. Super built up area and comes with 3 bedroom(s), 3 bathrooms and 3 balconies. The property is located on the top floor of a 14 floors tall building. This 1-5 years old property is available for immediate possession as the project is ready to move.
 Additional details :The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",,"['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Green Area5 out of 5', 'Construction5 out of 5', 'Management4 out of 5', 'Amenities4.5 out of 5', 'Connectivity4 out of 5']",2033.0020968183062,flat,sector 49
5 BHK Flat in Sector 49 Gurgaon,Orchid Petals,4.21,11835,Super Built up area 3557(330.46 sq.m.),5,6,3+,"Pooja Room,Servant Room","Sector 49 Gurgaon, Gurgaon, Haryana",14.0,South-East,1 to 5 Year Old,"['Sapphire Mall', 'Omaxe City Centre', 'BigBazaar', 'Sohna Rd', 'Kinder Care Playschool', 'Kangaroo Kids Preschool', 'shiv Mandir', 'Polaris Hospital', 'Medanta Hospital', 'Artemis Hospital', 'HDFC Bank', 'Radisson Hotel', 'SRS Cinemas']","Duplex penthouse located in the popular residential address of sector 49 gurgaon, orchid petals is one of the most preferred destination for apartments in gurgaon. This 5 bhk flat is your ticket to be a part of this community. The flat is over 3557 sq.Ft. Super built up area and comes with 5 bedroom(s), 6 bathrooms and more than 3 balconies. The property is located on the top floor of a 14 floors tall building. An added advantage of this 1-5 years old flat is that it is available for immediate possession as the project is already ready to move.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",,"['Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Green Area5 out of 5', 'Construction5 out of 5', 'Management4 out of 5', 'Amenities4.5 out of 5', 'Connectivity4 out of 5']",3557.2454583861427,flat,sector 49
5 BHK Flat in Sector 49 Gurgaon,Orchid Petals,4.16,11700,Super Built up area 3557(330.46 sq.m.),5,4,3+,"Study Room,Servant Room","Sector 49 Gurgaon, Gurgaon, Haryana",14.0,East,1 to 5 Year Old,"['Sapphire Mall', 'Omaxe City Centre', 'BigBazaar', 'Sohna Rd', 'Kinder Care Playschool', 'Kangaroo Kids Preschool', 'shiv Mandir', 'Polaris Hospital', 'Medanta Hospital', 'Artemis Hospital', 'HDFC Bank', 'Radisson Hotel', 'SRS Cinemas']","Check out this 5 bhk duplex penthouse for sale in orchid petals, a popular residential project that houses in-Demand flats in sector 49 gurgaon. Constructed on a super built up area of 3557 sq.Ft., the flat comprises 5 bedroom(s), 4 bathrooms and more than 3 balconies. The residential building has 14 floors in total and the flat for sale is located on the top floor. Being a ready to move project, you can expect immediate possession of this 1-5 years old property.
 Additional details :The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",,"['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Green Area5 out of 5', 'Construction5 out of 5', 'Management4 out of 5', 'Amenities4.5 out of 5', 'Connectivity4 out of 5']",3555.5555555555557,flat,sector 49
5 BHK Flat in Sector 49 Gurgaon,Orchid Petals,4.52,10984,Super Built up area 4115(382.3 sq.m.),5,5,3+,"Pooja Room,Study Room,Servant Room","Sector 49 Gurgaon, Gurgaon, Haryana",14.0,West,5 to 10 Year Old,"['Sapphire Mall', 'Omaxe City Centre', 'BigBazaar', 'Sohna Rd', 'Kinder Care Playschool', 'Kangaroo Kids Preschool', 'shiv Mandir', 'Polaris Hospital', 'Medanta Hospital', 'Artemis Hospital', 'HDFC Bank', 'Radisson Hotel', 'SRS Cinemas']","This beautiful 5 bhk penthouse sector 49 gurgaon is situated in orchid petals, one of the popular residential society in gurgaon. Constructed on a super built up area of 4115 sq.Ft., the flat comprises 5 bedroom(s), 5 bathrooms and more than 3 balconies. This flat is situated on the top floor of this 14 floors tall residential building. This is a ready to move project and the property is 5-10 years old.
 Additional details :The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
The society has dedicated security guards for every tower.",,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Green Area5 out of 5', 'Construction5 out of 5', 'Management4 out of 5', 'Amenities4.5 out of 5', 'Connectivity4 out of 5']",4115.076474872541,flat,sector 49
